province,sex,age_range,education,n
Saskatchewan,Male,40-49,Highschool,52
Saskatchewan,Male,40-49,"NA",2
Saskatchewan,Male,40-49,No Highschool,5
Saskatchewan,Male,40-49,Undergraduate,5
Saskatchewan,Male,50-59,Graduate+,3
Saskatchewan,Male,50-59,Highschool,55
Saskatchewan,Male,50-59,"NA",3
Saskatchewan,Male,50-59,No Highschool,9
Saskatchewan,Male,50-59,Undergraduate,12
Saskatchewan,Male,60-69,Graduate+,8
Saskatchewan,Male,60-69,Highschool,69
Saskatchewan,Male,60-69,"NA",2
Saskatchewan,Male,60-69,No Highschool,14
Saskatchewan,Male,60-69,Undergraduate,9
Saskatchewan,Male,70-79,Graduate+,5
Saskatchewan,Male,70-79,Highschool,43
Saskatchewan,Male,70-79,"NA",3
Saskatchewan,Male,70-79,No Highschool,17
Saskatchewan,Male,70-79,Undergraduate,8
Saskatchewan,Male,80-89,Graduate+,4
Saskatchewan,Male,80-89,Highschool,12
Saskatchewan,Male,80-89,No Highschool,20
Saskatchewan,Male,80-89,Undergraduate,5
