province,sex,age_range,education,n
Manitoba,Female,18-29,No Highschool,7
Manitoba,Female,18-29,Undergraduate,9
Manitoba,Female,30-39,Graduate+,10
Manitoba,Female,30-39,Highschool,58
Manitoba,Female,30-39,"NA",3
Manitoba,Female,30-39,No Highschool,9
Manitoba,Female,30-39,Undergraduate,28
Manitoba,Female,40-49,Graduate+,9
Manitoba,Female,40-49,Highschool,45
Manitoba,Female,40-49,"NA",2
Manitoba,Female,40-49,No Highschool,4
Manitoba,Female,40-49,Undergraduate,21
Manitoba,Female,50-59,Graduate+,5
Manitoba,Female,50-59,Highschool,58
Manitoba,Female,50-59,"NA",1
Manitoba,Female,50-59,No Highschool,3
Manitoba,Female,50-59,Undergraduate,16
Manitoba,Female,60-69,Graduate+,12
Manitoba,Female,60-69,Highschool,86
Manitoba,Female,60-69,"NA",5
Manitoba,Female,60-69,No Highschool,13
Manitoba,Female,60-69,Undergraduate,19
Manitoba,Female,70-79,Graduate+,2
Manitoba,Female,70-79,Highschool,56
Manitoba,Female,70-79,"NA",1
Manitoba,Female,70-79,No Highschool,27
Manitoba,Female,70-79,Undergraduate,7
Manitoba,Female,80-89,Graduate+,2
Manitoba,Female,80-89,Highschool,29
Manitoba,Female,80-89,"NA",2
Manitoba,Female,80-89,No Highschool,29
Manitoba,Female,80-89,Undergraduate,5
Manitoba,Male,18-29,Highschool,40
Manitoba,Male,18-29,"NA",1
Manitoba,Male,18-29,No Highschool,3
Manitoba,Male,18-29,Undergraduate,8
Manitoba,Male,30-39,Graduate+,9
Manitoba,Male,30-39,Highschool,49
Manitoba,Male,30-39,"NA",4
Manitoba,Male,30-39,No Highschool,8
Manitoba,Male,30-39,Undergraduate,20
Manitoba,Male,40-49,Graduate+,2
Manitoba,Male,40-49,Highschool,50
Manitoba,Male,40-49,"NA",1
Manitoba,Male,40-49,No Highschool,4
Manitoba,Male,40-49,Undergraduate,20
Manitoba,Male,50-59,Graduate+,6
Manitoba,Male,50-59,Highschool,50
Manitoba,Male,50-59,No Highschool,17
Manitoba,Male,50-59,Undergraduate,10
Manitoba,Male,60-69,Graduate+,7
Manitoba,Male,60-69,Highschool,65
Manitoba,Male,60-69,"NA",1
Manitoba,Male,60-69,No Highschool,29
Manitoba,Male,60-69,Undergraduate,9
Manitoba,Male,70-79,Graduate+,6
Manitoba,Male,70-79,Highschool,38
Manitoba,Male,70-79,"NA",2
Manitoba,Male,70-79,No Highschool,28
Manitoba,Male,70-79,Undergraduate,14
Manitoba,Male,80-89,Graduate+,1
Manitoba,Male,80-89,Highschool,24
Manitoba,Male,80-89,No Highschool,17
Manitoba,Male,80-89,Undergraduate,6
New Brunswick,Female,18-29,Graduate+,5
New Brunswick,Female,18-29,Highschool,38
New Brunswick,Female,18-29,"NA",1
New Brunswick,Female,18-29,No Highschool,3
New Brunswick,Female,18-29,Undergraduate,9
New Brunswick,Female,30-39,Graduate+,8
New Brunswick,Female,30-39,Highschool,58
New Brunswick,Female,30-39,"NA",4
New Brunswick,Female,30-39,No Highschool,2
New Brunswick,Female,30-39,Undergraduate,19
New Brunswick,Female,40-49,Graduate+,10
New Brunswick,Female,40-49,Highschool,59
New Brunswick,Female,40-49,No Highschool,1
New Brunswick,Female,40-49,Undergraduate,30
New Brunswick,Female,50-59,Graduate+,8
New Brunswick,Female,50-59,Highschool,93
New Brunswick,Female,50-59,"NA",1
New Brunswick,Female,50-59,No Highschool,11
New Brunswick,Female,50-59,Undergraduate,18
New Brunswick,Female,60-69,Graduate+,8
New Brunswick,Female,60-69,Highschool,108
New Brunswick,Female,60-69,"NA",1
New Brunswick,Female,60-69,No Highschool,25
New Brunswick,Female,60-69,Undergraduate,24
New Brunswick,Female,70-79,Graduate+,10
New Brunswick,Female,70-79,Highschool,61
New Brunswick,Female,70-79,"NA",3
New Brunswick,Female,70-79,No Highschool,41
New Brunswick,Female,70-79,Undergraduate,9
New Brunswick,Female,80-89,Graduate+,1
New Brunswick,Female,80-89,Highschool,36
New Brunswick,Female,80-89,No Highschool,29
New Brunswick,Female,80-89,Undergraduate,5
New Brunswick,Male,18-29,Highschool,25
New Brunswick,Male,18-29,No Highschool,3
New Brunswick,Male,18-29,Undergraduate,6
New Brunswick,Male,30-39,Graduate+,6
New Brunswick,Male,30-39,Highschool,47
New Brunswick,Male,30-39,"NA",1
New Brunswick,Male,30-39,No Highschool,2
New Brunswick,Male,30-39,Undergraduate,12
New Brunswick,Male,40-49,Graduate+,9
New Brunswick,Male,40-49,Highschool,53
New Brunswick,Male,40-49,"NA",3
New Brunswick,Male,40-49,No Highschool,7
New Brunswick,Male,40-49,Undergraduate,19
New Brunswick,Male,50-59,Graduate+,10
New Brunswick,Male,50-59,Highschool,66
New Brunswick,Male,50-59,"NA",3
New Brunswick,Male,50-59,No Highschool,9
New Brunswick,Male,50-59,Undergraduate,18
New Brunswick,Male,60-69,Graduate+,9
New Brunswick,Male,60-69,Highschool,82
New Brunswick,Male,60-69,No Highschool,28
New Brunswick,Male,60-69,Undergraduate,18
New Brunswick,Male,70-79,Graduate+,7
New Brunswick,Male,70-79,Highschool,51
New Brunswick,Male,70-79,No Highschool,28
New Brunswick,Male,70-79,Undergraduate,12
New Brunswick,Male,80-89,Graduate+,6
New Brunswick,Male,80-89,Highschool,8
New Brunswick,Male,80-89,"NA",1
New Brunswick,Male,80-89,No Highschool,22
Newfoundland and Labrador,Female,18-29,Graduate+,1
Newfoundland and Labrador,Female,18-29,Highschool,31
Newfoundland and Labrador,Female,18-29,"NA",2
Newfoundland and Labrador,Female,18-29,No Highschool,2
Newfoundland and Labrador,Female,18-29,Undergraduate,11
Newfoundland and Labrador,Female,30-39,Graduate+,14
Newfoundland and Labrador,Female,30-39,Highschool,38
Newfoundland and Labrador,Female,30-39,No Highschool,1
Newfoundland and Labrador,Female,30-39,Undergraduate,31
Newfoundland and Labrador,Female,40-49,Graduate+,8
Newfoundland and Labrador,Female,40-49,Highschool,52
Newfoundland and Labrador,Female,40-49,No Highschool,4
Newfoundland and Labrador,Female,40-49,Undergraduate,18
Newfoundland and Labrador,Female,50-59,Graduate+,3
Newfoundland and Labrador,Female,50-59,Highschool,79
Newfoundland and Labrador,Female,50-59,"NA",1
Newfoundland and Labrador,Female,50-59,No Highschool,18
Newfoundland and Labrador,Female,50-59,Undergraduate,8
Newfoundland and Labrador,Female,60-69,Graduate+,15
Newfoundland and Labrador,Female,60-69,Highschool,78
Newfoundland and Labrador,Female,60-69,"NA",1
Newfoundland and Labrador,Female,60-69,No Highschool,30
Newfoundland and Labrador,Female,60-69,Undergraduate,18
Newfoundland and Labrador,Female,70-79,Graduate+,1
Newfoundland and Labrador,Female,70-79,Highschool,45
Newfoundland and Labrador,Female,70-79,"NA",2
Newfoundland and Labrador,Female,70-79,No Highschool,42
Newfoundland and Labrador,Female,70-79,Undergraduate,8
Newfoundland and Labrador,Female,80-89,Graduate+,3
Newfoundland and Labrador,Female,80-89,Highschool,13
Newfoundland and Labrador,Female,80-89,"NA",1
Newfoundland and Labrador,Female,80-89,No Highschool,17
Newfoundland and Labrador,Female,80-89,Undergraduate,3
Newfoundland and Labrador,Male,18-29,Highschool,25
Newfoundland and Labrador,Male,18-29,"NA",1
Newfoundland and Labrador,Male,18-29,No Highschool,3
Newfoundland and Labrador,Male,18-29,Undergraduate,8
Newfoundland and Labrador,Male,30-39,Graduate+,7
Newfoundland and Labrador,Male,30-39,Highschool,44
Newfoundland and Labrador,Male,30-39,"NA",1
Newfoundland and Labrador,Male,30-39,No Highschool,2
Newfoundland and Labrador,Male,30-39,Undergraduate,19
Newfoundland and Labrador,Male,40-49,Graduate+,5
Newfoundland and Labrador,Male,40-49,Highschool,45
Newfoundland and Labrador,Male,40-49,"NA",2
Newfoundland and Labrador,Male,40-49,No Highschool,6
Newfoundland and Labrador,Male,40-49,Undergraduate,8
Newfoundland and Labrador,Male,50-59,Graduate+,6
Newfoundland and Labrador,Male,50-59,Highschool,60
Newfoundland and Labrador,Male,50-59,No Highschool,24
Newfoundland and Labrador,Male,50-59,Undergraduate,11
Newfoundland and Labrador,Male,60-69,Graduate+,2
Newfoundland and Labrador,Male,60-69,Highschool,55
Newfoundland and Labrador,Male,60-69,"NA",2
Newfoundland and Labrador,Male,60-69,No Highschool,32
Newfoundland and Labrador,Male,60-69,Undergraduate,12
Newfoundland and Labrador,Male,70-79,Graduate+,6
